0,cooperating witness,,
1,,conversation with 0,
2,boss family ''Barcellona Pozzo di Gotto'',,
3,boss family ''Caltagirone'',,
4,enterpreneur,,
5,,sighted with 11 12 and 13,
6,,sighted with 3 4 5 7 and 8,
7,,sighted with 3 4 5 6 7 and 8,
8,,sighted with 3 4 5 6 and 7,
9,,sighted with 3 5 6 7 4 and 8,
10,enterpreneur,,
11,boss Cosa Nostra in Messina,,
12,member family ''Mistretta'',,arrested
13,enterpreneur,nephew of 11,
14,boss family ''Mazzaroti'',,arrest request denied
16,boss family ''Brancaccio'',,
17,,tapped with 16,
18,executive family ''Mistretta'',,arrested
19,,external partnership,arrested
20,,,fugitive
21,enterpreneur,,arrested
22,Pharmacist-member,,arrested
23,executive family,,arrested
24,,external partnership,
25,executive family ''Mistretta'',,arrested
26,member of family ''San Mauro Castelverde'',,
27,executive family ''Batanesi'',,arrested
28,,sighted with 11 13 and 5,
29,enterpreneur,,arrested
30,,father of 30,
31,enterpreneur,,
32,member family ''Mistretta'',,
33,,external partnership,arrested
34,,tapped with 18,
36,,aiding and abetting of a fugitive,arrested
39,executive family ''Batanesi'',,
40,member family ''Mazzaroti'',,
41,member family ''Mazzaroti'',,
42,boss family ''Tortorici'',,
43,intermediator,,arrested
45,member family ''Batanesi'',,arrested
46,boss family ''Tortorici'',,
47,deputy boss family ''Batanesi'',,arrested
48,member family ''Batanesi'',,arrested
49,member family ''Batanesi'',,house arrest
50,member family ''Batanesi'',,arrested
51,member family ''Batanesi'',,arrested
52,enterpreneur,,arrested
54,enterpreneur,,arrested
55,member family ''Barcellona Pozzo di Gotto'',,
56,,wife of an inmate,arrest request denied
57,,daughter of an inmate,uninvolved
59,enterpreneur,,
60,,brother of 59,
61,executive family ''Mistretta'',,arrested
62,enterpreneur,,arrested
63,enterpreneur,,arrested
64,enterpreneur,,arrested
65,enterpreneur,,
66,enterpreneur,,arrested
67,enterpreneur,,arrested
68,executive family ''Batanesi'',,arrested
69,enterpreneur,,
70,member family ''Batanesi'',,arrested
71,enterpreneur,,
72,construction worker,,lack of evidence
73,,mother of 74 and wife of 22,
74,,son of 22,
75,member family ''Mistretta'',,arrested
76,enterpreneur,external partnership,arrested
77,member family ''Mistretta'',,arrested
78,,sighted with 22 and 18,
79,enterpreneur,external partnership,
80,enterpreneur,,arrested
81,,sighted with 80 and 82,
82,,sighted with 80 and 81,
83,,sighted with 15 and 79,
84,enterpreneur,external partnership,
85,enterpreneur,external partnership,arrested
86,enterpreneur,sighted with 87,
87,enterpreneur,sighted with 85,
88,,sighted with 25 and 26,
89,member family ''Batanesi'',,arrested
90,member family ''Batanesi'',,
91,car electrician,in contact with 36,
92,lawyer,in contact with 91 and 36,
93,,sighted with various members of families,
94,,sighted with 89 and 45,
95,member family ''Batanesi'',,
96,enterpreneur,,arrested
97,member family ''Batanesi'',,arrested
98,,,arrest request denied
99,,external partnership, arrested
100,farmer,external partnership,
101,,phone tapped with 14,
102,,,arrest request denied
103,,phone tapping with 18,
104,enterpreneur,,
105,land owner,in contact with 37,
106,,phone tapping with 107,
107,bar owner,phone tapped with 106,
108,walking fishmonger,phone tapped with 18,
109,non-existent enterpreneur created during a scam,,
110,,external partnership,
111,,phone tapping with 109,
112,,external partnership,
113,,external partnership,
114,road haulier,external partnership,
115,road haulier,external partnership,
116,accountant employee of 113,accountant employee of 113,
117,,phone tapping with 37,
118,,external partnership,
119,,nominee owner of the phone number used by 15,
121,,nominee owner of the phone number used by 147,
123,,Common-law wife of 47,
124,,phone tapping with various members,
125,member family ''Batanesi'',,
126,,sighted and phone tapped several times,
127,,phone tapped with 37,
128,enterpreneur,,arrested
129,,phone tapped with 37,
130,,phone tapped with 37,
131,,phone tapped with 37,
132,,phone tapped with 18,
133,City employee,phone tapped with 37,
134,,phone tapped with 37,
136,,common-law wife of 27,
137,enterpreneur,,
138,lawyer,in contact with 27,
139,enterpreneur,,
140,enterpreneur,,
143,member family ''Mistretta'',,
144,member family ''Mistretta'',,
145,,mother of 13,
146,,phone tapped with 18,
147,,phone tapped with 44,
148,,wife of 149,
149,Co-founder of family ''Batanesi'',,in jail
150,,,in jail
151,member family ''Batanesi'',,arrested
152,,phone tapped with 15,
153,,sells a car to 34,
154,,,arrest request denied
